iter	Logloss
0	0.6776420047
1	0.6615946359
2	0.6479800548
3	0.634932356
4	0.6220936458
5	0.6104832765
6	0.5999333317
7	0.5895513318
8	0.5799623658
9	0.5707416745
10	0.5626346279
11	0.5542962573
12	0.5483206221
13	0.5414697304
14	0.5349542137
15	0.5287522782
16	0.5226084626
17	0.5171576448
18	0.511651548
19	0.5064512876
20	0.5016113237
21	0.4974817823
22	0.4935965117
23	0.4893310496
24	0.4852282974
25	0.4817476714
26	0.4788466288
27	0.4752312424
28	0.4725428746
29	0.4694205918
30	0.4662905883
31	0.4636346032
32	0.4612033846
33	0.4586645106
34	0.4560962233
35	0.4538307529
36	0.4517431908
37	0.4498508857
38	0.4478150169
39	0.44588898
40	0.4438684662
41	0.4425961268
42	0.4409718531
43	0.439356292
44	0.437863533
45	0.4364004866
46	0.4348094908
47	0.4335184326
48	0.4320566796
49	0.4308539073
50	0.4295124247
51	0.428590774
52	0.4273191697
53	0.426217033
54	0.4258323067
55	0.4248017612
56	0.423933613
57	0.4229148524
58	0.4219969242
59	0.4211956852
60	0.420273637
61	0.4194029093
62	0.4185791674
63	0.4178057336
64	0.4170652769
65	0.4162588274
66	0.4155511402
67	0.4148676598
68	0.4142184583
69	0.4135996164
70	0.412902283
71	0.4122136736
72	0.411474283
73	0.4109452243
74	0.4104589699
75	0.4099126862
76	0.4094993822
77	0.4089159064
78	0.4084854657
79	0.4080520292
80	0.4077252743
81	0.4071485141
82	0.406734712
83	0.4063159397
84	0.4058883237
85	0.4054286358
86	0.4050997211
87	0.4047501394
88	0.404315525
89	0.404136027
90	0.4036719697
91	0.4032977467
92	0.4029639324
93	0.4026724535
94	0.4022965718
95	0.4019612605
96	0.4016473517
97	0.4013631078
98	0.4010883467
99	0.4007272146
100	0.4004103905
101	0.4000628937
102	0.3997283658
103	0.3995643851
104	0.3992530276
105	0.3989775617
106	0.3987770785
107	0.3984146087
108	0.3981326355
109	0.3977456706
110	0.3974559998
111	0.3971791708
112	0.3968806444
113	0.3967224731
114	0.3964059094
115	0.3962534531
116	0.3959782762
117	0.3957453431
118	0.3954099617
119	0.3952147871
120	0.394936514
121	0.3947870974
122	0.3945749828
123	0.3943189178
124	0.3940529968
125	0.3938430939
126	0.3936776033
127	0.3934389216
128	0.3932157712
129	0.3931096341
130	0.39279916
131	0.392629436
132	0.3925119635
133	0.3922824911
134	0.3920869238
135	0.391898896
136	0.3916403844
137	0.39145618
138	0.391290063
139	0.3911394293
140	0.3910185456
141	0.3907906514
142	0.3905816674
143	0.3903507586
144	0.390076404
145	0.3899318419
146	0.3898188247
147	0.3896290089
148	0.3894703671
149	0.3893402696
150	0.3890565247
151	0.3889049052
152	0.3886808856
153	0.3885779093
154	0.3883821029
155	0.3881357605
156	0.3879428583
157	0.3877819882
158	0.3876644779
159	0.3875123429
160	0.3873354949
161	0.3871177553
162	0.3870091752
163	0.3867389338
164	0.3866276407
165	0.3865273964
166	0.3862680896
167	0.3861015743
168	0.3859238527
169	0.385684591
170	0.3855300294
171	0.3853133002
172	0.3851787628
173	0.3849880774
174	0.3848570456
175	0.3847676398
176	0.384635673
177	0.3845146511
178	0.3843586983
179	0.3842500214
180	0.3841348278
181	0.3839972219
182	0.3838525422
183	0.3837361884
184	0.383595239
185	0.3834429003
186	0.3833170205
187	0.3832520712
188	0.3831173664
189	0.3829028505
190	0.3827797897
191	0.3826260125
192	0.3824543769
193	0.3824134707
194	0.3822151322
195	0.3821847586
196	0.3820375472
197	0.3819402342
198	0.3818341371
199	0.3817245416
200	0.3816269175
201	0.381544684
202	0.3814485372
203	0.381258215
204	0.3811311784
205	0.3809866766
206	0.3808821943
207	0.3807657921
208	0.3805701027
209	0.3804797681
210	0.380329219
211	0.3802234483
212	0.3801471322
213	0.3801218807
214	0.380027485
215	0.3799451864
216	0.3798909294
217	0.3797715276
218	0.3797146042
219	0.3795182627
220	0.3793408482
221	0.3792149215
222	0.3790758691
223	0.3789359942
224	0.3788643555
225	0.3787752842
226	0.3786679307
227	0.3785452711
228	0.3784576281
229	0.3783383123
230	0.3782791694
231	0.378184849
232	0.3780296717
233	0.3779242927
234	0.3778166637
235	0.3777512441
236	0.377640919
237	0.3774465398
238	0.3772869057
239	0.3771973799
240	0.3770837665
241	0.3769486035
242	0.3768629047
243	0.3767849264
244	0.3767646285
245	0.3766542943
246	0.3765592316
247	0.3764183541
248	0.376338432
249	0.3762719218
250	0.3761776131
251	0.3760329847
252	0.3758336387
253	0.3757666562
254	0.3756269146
255	0.3755535056
256	0.3755197132
257	0.3753559763
258	0.375293474
259	0.3750701027
260	0.3748569925
261	0.3747049675
262	0.3746652578
263	0.3745260161
264	0.3744250881
265	0.3743691226
266	0.3741903309
267	0.3740102801
268	0.3739475401
269	0.3738384902
270	0.3736992564
271	0.3736414947
272	0.3734855004
273	0.3733388102
274	0.3732093443
275	0.373115284
276	0.3729902903
277	0.3729394988
278	0.3728438514
279	0.3726597193
280	0.3725195989
281	0.3723747463
282	0.3723010962
283	0.3721952947
284	0.3720794202
285	0.3719820406
286	0.3719515877
287	0.3718190516
288	0.3716974345
289	0.3715418199
290	0.3714389433
291	0.3713582289
292	0.3712716273
293	0.3711558932
294	0.3710441135
295	0.3710200062
296	0.3709601459
297	0.3709288684
298	0.370851747
299	0.3707266187
300	0.3705982377
301	0.370492245
302	0.3704066477
303	0.370289149
304	0.3702074512
305	0.3700965566
306	0.3700047256
307	0.3698588564
308	0.369755415
309	0.3696642357
310	0.3696176681
311	0.369523185
312	0.3694302432
313	0.3693275178
314	0.3692576602
315	0.369118445
316	0.3690429893
317	0.3689997354
318	0.36888258
319	0.3688055224
320	0.3687088297
321	0.36870886
322	0.368510605
323	0.3683442196
324	0.3682119486
325	0.3681122292
326	0.3679814684
327	0.3678991405
328	0.3677425902
329	0.3676058199
330	0.3675730908
331	0.3674334458
332	0.3674186402
333	0.3673654022
334	0.3672679741
335	0.3670954904
336	0.3669314352
337	0.3667357925
338	0.3666526621
339	0.3665727361
340	0.3664194653
341	0.3663782919
342	0.3662456503
343	0.3661834187
344	0.3661076873
345	0.3659169804
346	0.3657490824
347	0.3655904334
348	0.3655390631
349	0.3654297016
350	0.3652678898
351	0.3651327431
352	0.3650600525
353	0.3648973912
354	0.3648007598
355	0.3646432315
356	0.3645546881
357	0.364491725
358	0.364378582
359	0.3642545552
360	0.3641400102
361	0.3641349948
362	0.3641208869
363	0.3639885898
364	0.3638756391
365	0.363748081
366	0.3636172033
367	0.3634995407
368	0.3633823046
369	0.3632708938
370	0.3631774193
371	0.3631206173
372	0.3629862328
373	0.3629324418
374	0.362830713
375	0.3627170257
376	0.3625205402
377	0.3624571809
378	0.3623434215
379	0.3621871998
380	0.362087222
381	0.3619867262
382	0.3618593684
383	0.3617847689
384	0.3615724477
385	0.3614921549
386	0.3613927705
387	0.3612090983
388	0.3610911613
389	0.3609786786
390	0.3608382234
391	0.3607367564
392	0.3606154362
393	0.3604605121
394	0.36036606
395	0.3602824709
396	0.3602428361
397	0.3601506768
398	0.3600121946
399	0.3598326184
400	0.3597049255
401	0.3595890007
402	0.3594593944
403	0.359342944
404	0.3592117597
405	0.3590959533
406	0.3589674174
407	0.3588814557
408	0.3587865057
409	0.3586640921
410	0.3584768692
411	0.358389455
412	0.3582133429
413	0.3581320961
414	0.3580697651
415	0.3578868242
416	0.3577728578
417	0.35768072
418	0.3576175966
419	0.3575318602
420	0.3574319543
421	0.3572398651
422	0.3570797466
423	0.3569573057
424	0.3568063769
425	0.3566917662
426	0.3565946497
427	0.3564809261
428	0.3563986156
429	0.3562910689
430	0.3561706144
431	0.3560850705
432	0.3559897937
433	0.3558160717
434	0.3556736206
435	0.3555972186
436	0.3555118893
437	0.3553296084
438	0.3552204053
439	0.3551575039
440	0.3550704504
441	0.3549347048
442	0.3547504238
443	0.3546821944
444	0.3545840673
445	0.3544426374
446	0.3543314875
447	0.3542587586
448	0.3541075024
449	0.3539961002
450	0.3538950501
451	0.3538023431
452	0.3536822796
453	0.3535984363
454	0.3534469949
455	0.3533176328
456	0.353178736
457	0.3530724266
458	0.3529562166
459	0.3528066467
460	0.3527195318
461	0.3525808332
462	0.3524847518
463	0.352415133
464	0.3523186486
465	0.3521878213
466	0.3520816308
467	0.3518774298
468	0.3517358482
469	0.3516074595
470	0.3514861147
471	0.3513655239
472	0.3513107383
473	0.3511279957
474	0.3509938481
475	0.3509091266
476	0.3507844476
477	0.3506829081
478	0.3505949279
479	0.3504762012
480	0.3503620228
481	0.3501243397
482	0.3499669835
483	0.3497911752
484	0.3497543201
485	0.3496504624
486	0.3495580575
487	0.3494650351
488	0.3493591437
489	0.3493161351
490	0.3492363935
491	0.3491113529
492	0.3490449853
493	0.3489033043
494	0.348816645
495	0.348692828
496	0.3485841697
497	0.3484421248
498	0.3483425613
499	0.3482375035
500	0.3480819184
501	0.3479739585
502	0.3478321538
503	0.347689353
504	0.3475886883
505	0.347412726
506	0.3473441055
507	0.3471955061
508	0.3471062419
509	0.3470176933
510	0.3469205259
511	0.3468389219
512	0.346689212
513	0.3465568426
514	0.3464317259
515	0.3463317514
516	0.3462344052
517	0.3461226361
518	0.3460000218
519	0.3458985862
520	0.3458206603
521	0.3457316335
522	0.3456344291
523	0.3455474308
524	0.3454580185
525	0.3454015971
526	0.3452527279
527	0.3451059538
528	0.3449695536
529	0.3448667519
530	0.3447836928
531	0.3447185111
532	0.3445766055
533	0.3444406915
534	0.3443385297
535	0.3442708352
536	0.3441727618
537	0.344073231
538	0.3439574243
539	0.3438820866
540	0.3437719558
541	0.3436691531
542	0.3434975831
543	0.3433223618
544	0.3431280693
545	0.3430145072
546	0.3429369934
547	0.3428524115
548	0.342780239
549	0.342681773
550	0.3425968358
551	0.3424594998
552	0.3423096459
553	0.3422171643
554	0.3421538447
555	0.3420899697
556	0.3419216435
557	0.341830292
558	0.3417523871
559	0.3416609161
560	0.3415308351
561	0.3414017066
562	0.3413158746
563	0.3412157872
564	0.3411517872
565	0.3409888269
566	0.3408773168
567	0.340756109
568	0.3406971289
569	0.3405867836
570	0.3404704135
571	0.3403801833
572	0.3403020918
573	0.3402455423
574	0.3401339294
575	0.3400389
576	0.3399621889
577	0.3398392663
578	0.3397642483
579	0.3396970405
580	0.3396370258
581	0.3395709268
582	0.3394181672
583	0.3393369405
584	0.3392644049
585	0.3390875494
586	0.3390336033
587	0.3389400698
588	0.3388623632
589	0.3388163761
590	0.3386893563
591	0.3385738336
592	0.338489514
593	0.338401392
594	0.3383157612
595	0.3381929394
596	0.3381082132
597	0.3380175117
598	0.3378892459
599	0.3378145648
600	0.3377167458
601	0.3376381105
602	0.3375583381
603	0.3374721084
604	0.3374063307
605	0.3373012619
606	0.3371871936
607	0.3371235613
608	0.3370205196
609	0.3369687787
610	0.3368797694
611	0.3367771057
612	0.3367478755
613	0.3366214948
614	0.33653291
615	0.3364839335
616	0.3363777911
617	0.3362821793
618	0.3361847883
619	0.3361140575
620	0.3359712739
621	0.3359045695
622	0.3358102453
623	0.3356096843
624	0.3355178079
625	0.3353571607
626	0.3352892132
627	0.3352285078
628	0.3351177361
629	0.3350223068
630	0.3349795119
631	0.3348623491
632	0.3347457498
633	0.3345897242
634	0.3345228779
635	0.3344159968
636	0.3342669677
637	0.3341491241
638	0.3341232899
639	0.3340580486
640	0.3339503095
641	0.3338289198
642	0.3337122852
643	0.3336473604
644	0.333610684
645	0.3335080511
646	0.3334041362
647	0.333311794
648	0.3331736881
649	0.3330565038
650	0.3329978236
651	0.3329268342
652	0.3328129223
653	0.3326448301
654	0.3325326731
655	0.33245121
656	0.3323769439
657	0.3323171888
658	0.3321795777
659	0.3321336972
660	0.332079795
661	0.3319973141
662	0.3319351666
663	0.3318631012
664	0.3318267468
665	0.3317385099
666	0.3316641951
667	0.3315754342
668	0.3315576277
669	0.3315270757
670	0.3313830717
671	0.3313354495
672	0.3312710901
673	0.3311683314
674	0.3311085017
675	0.3310258034
676	0.3309556069
677	0.3308503896
678	0.330668763
679	0.3306102911
680	0.3305342395
681	0.3305033658
682	0.3304016848
683	0.3303210296
684	0.3302761965
685	0.3302274737
686	0.3301276746
687	0.3300378154
688	0.3299864
689	0.3299141934
690	0.3298356357
691	0.3297696447
692	0.3297101456
693	0.3296727948
694	0.3295679138
695	0.3294992237
696	0.3294150026
697	0.3293178755
698	0.3290971849
699	0.3290175277
700	0.3289496415
701	0.3288667857
702	0.3287971932
703	0.3287439989
704	0.3286632769
705	0.3285526759
706	0.3284947461
707	0.3284224342
708	0.3282875312
709	0.3282331646
710	0.3281630331
711	0.3280713083
712	0.3279495432
713	0.327862121
714	0.3277875945
715	0.3277274351
716	0.3276227093
717	0.3275201752
718	0.3274438369
719	0.3273817324
720	0.3273063447
721	0.3272211652
722	0.3271603022
723	0.3271009446
724	0.3269438204
725	0.326915346
726	0.3268566223
727	0.326789947
728	0.3267148041
729	0.3266723135
730	0.326609359
731	0.3265568059
732	0.3264871378
733	0.3264285547
734	0.3263101251
735	0.3262016224
736	0.3261315703
737	0.3259879021
738	0.3259303775
739	0.3258505693
740	0.3258139397
741	0.3256944949
742	0.3256332364
743	0.3255864249
744	0.3254775078
745	0.3254093058
746	0.3252199086
747	0.3252011373
748	0.3251524319
749	0.3250804576
750	0.3250492824
751	0.324912126
752	0.3248262302
753	0.3248084087
754	0.3247369924
755	0.3246818961
756	0.3246483925
757	0.3245980872
758	0.3244783327
759	0.324386059
760	0.3242919748
761	0.3242104537
762	0.324140198
763	0.3239800068
764	0.3238982488
765	0.3237481463
766	0.3236625149
767	0.3236041401
768	0.3235320766
769	0.323464494
770	0.3233750229
771	0.3232209121
772	0.3231079423
773	0.3230047788
774	0.3229000262
775	0.3228681971
776	0.3226913354
777	0.3226435164
778	0.3225795031
779	0.3225120035
780	0.3224712788
781	0.322404889
782	0.3222727989
783	0.3221910905
784	0.3220891647
785	0.321932991
786	0.3218305266
787	0.3217693425
788	0.3216665107
789	0.3215819842
790	0.3215240368
791	0.3214863632
792	0.3214410589
793	0.3212887354
794	0.321142826
795	0.3210749798
796	0.3209673308
797	0.3208904581
798	0.3208141943
799	0.3207459071
800	0.3206533159
801	0.3206018283
802	0.3205474174
803	0.3204924967
804	0.3204477976
805	0.3204016403
806	0.3203214802
807	0.3202461669
808	0.3202112833
809	0.3201267719
810	0.3200767036
811	0.3199215136
812	0.3198405763
813	0.3197991716
814	0.3196619457
815	0.3195667931
816	0.3194917467
817	0.3194437727
818	0.3194216665
819	0.3193203982
820	0.3192582505
821	0.3191926263
822	0.3190824129
823	0.3189574957
824	0.3188689259
825	0.3188144742
826	0.3187521314
827	0.3186699835
828	0.3186021441
829	0.3185721581
830	0.3184594537
831	0.3183775602
832	0.3183237954
833	0.3182230592
834	0.3181512478
835	0.3180659312
836	0.3179746413
837	0.3179084382
838	0.3178158548
839	0.3177299885
840	0.317672101
841	0.3175888001
842	0.3175118099
843	0.3174433908
844	0.3173810108
845	0.3173231071
846	0.3172957517
847	0.3172160782
848	0.3171518142
849	0.3170409847
850	0.3169500886
851	0.3168420972
852	0.3167718413
853	0.3166896189
854	0.3166275807
855	0.3165629511
856	0.3164814902
857	0.3163980337
858	0.3163373485
859	0.3162571731
860	0.3161818749
861	0.3160653993
862	0.3159400958
863	0.3158509498
864	0.3157442826
865	0.3156011883
866	0.3155063294
867	0.3154262306
868	0.3153494473
869	0.3153193848
870	0.3151973451
871	0.3151676653
872	0.3151152368
873	0.3150769658
874	0.3150194311
875	0.3148782321
876	0.3148072797
877	0.3147643584
878	0.3147061342
879	0.314643285
880	0.3145331632
881	0.3144516109
882	0.3143201409
883	0.3142684477
884	0.3142249617
885	0.3141226797
886	0.3140126195
887	0.3139498545
888	0.3139069749
889	0.3138784925
890	0.3137669881
891	0.3136376672
892	0.313609365
893	0.3135136989
894	0.3134593705
895	0.3133589476
896	0.3133444578
897	0.3132517697
898	0.3131637651
899	0.3130676956
900	0.3129443792
901	0.3128187365
902	0.3127740052
903	0.3126979507
904	0.3126141292
905	0.3125620476
906	0.3124907327
907	0.3124420003
908	0.312398875
909	0.3123390162
910	0.3122969647
911	0.3122122492
912	0.3120777083
913	0.3119641431
914	0.3118572605
915	0.3117871043
916	0.3117320121
917	0.3116212939
918	0.3115395255
919	0.3114615321
920	0.3114151911
921	0.3113257283
922	0.311268116
923	0.3111348046
924	0.3110542382
925	0.3110114039
926	0.3108947411
927	0.310803521
928	0.3107527031
929	0.3106532389
930	0.3106264914
931	0.3105697973
932	0.3105221344
933	0.3104729542
934	0.3103562131
935	0.3102809215
936	0.3102144451
937	0.3101478758
938	0.3100318184
939	0.309928442
940	0.3098701922
941	0.3098264454
942	0.3097484758
943	0.3096484039
944	0.3095562297
945	0.3094714471
946	0.3094359408
947	0.309297736
948	0.3091832883
949	0.3090888673
950	0.3090075596
951	0.3089141659
952	0.3088584926
953	0.3087695614
954	0.3086635866
955	0.3086207462
956	0.3085301479
957	0.3084768301
958	0.3083947773
959	0.3083274993
960	0.3082303278
961	0.3081691169
962	0.3080677666
963	0.3079609449
964	0.3079346172
965	0.3078550963
966	0.3078062353
967	0.3077352775
968	0.3075907153
969	0.3075158314
970	0.3074000287
971	0.3072888098
972	0.3072300855
973	0.3071385088
974	0.3070112394
975	0.3069197617
976	0.3068506101
977	0.3067617367
978	0.3066629393
979	0.3065777605
980	0.3065397452
981	0.3064575362
982	0.3064070446
983	0.3063559019
984	0.3062990709
985	0.3062652625
986	0.3061909831
987	0.3061428028
988	0.3060195676
989	0.3059197805
990	0.3058114265
991	0.3056646885
992	0.3055447695
993	0.3054681036
994	0.305373841
995	0.305278244
996	0.305194367
997	0.305118996
998	0.3049914945
999	0.3048811601
